race_id,race_name,bet_type,axis_horse,bet,amount,amount_percent
20260418_FUKUSHIMA_01,3歳未勝利,ワイド,12 イサチルニャーニャ,12 イサチルニャーニャ - 14 メイショウイブキ,100,10
20260418_FUKUSHIMA_01,3歳未勝利,ワイド,12 イサチルニャーニャ,12 イサチルニャーニャ - 1 サノノキャニオン,100,10
20260418_FUKUSHIMA_01,3歳未勝利,ワイド,12 イサチルニャーニャ,12 イサチルニャーニャ - 9 マクアケ,100,10
20260418_FUKUSHIMA_01,3歳未勝利,馬連,12 イサチルニャーニャ,12 イサチルニャーニャ - 14 メイショウイブキ,100,10
20260418_FUKUSHIMA_01,3歳未勝利,馬連,12 イサチルニャーニャ,12 イサチルニャーニャ - 1 サノノキャニオン,100,10
20260418_FUKUSHIMA_01,3歳未勝利,馬連,12 イサチルニャーニャ,12 イサチルニャーニャ - 9 マクアケ,100,10
20260418_FUKUSHIMA_01,3歳未勝利,3連複,12 イサチルニャーニャ,12 イサチルニャーニャ - 14 メイショウイブキ - 1 サノノキャニオン,100,10
20260418_FUKUSHIMA_01,3歳未勝利,3連複,12 イサチルニャーニャ,12 イサチルニャーニャ - 14 メイショウイブキ - 9 マクアケ,100,10
20260418_FUKUSHIMA_01,3歳未勝利,3連複,12 イサチルニャーニャ,12 イサチルニャーニャ - 1 サノノキャニオン - 9 マクアケ,100,10
20260418_FUKUSHIMA_02,3歳未勝利,ワイド,5 キャリアビジョン,5 キャリアビジョン - 4 カルダモン,100,10
20260418_FUKUSHIMA_02,3歳未勝利,ワイド,5 キャリアビジョン,5 キャリアビジョン - 6 ブライトエアリー,100,10
20260418_FUKUSHIMA_02,3歳未勝利,ワイド,5 キャリアビジョン,5 キャリアビジョン - 2 アルティマローネ,100,10
20260418_FUKUSHIMA_02,3歳未勝利,馬連,5 キャリアビジョン,5 キャリアビジョン - 4 カルダモン,100,10
20260418_FUKUSHIMA_02,3歳未勝利,馬連,5 キャリアビジョン,5 キャリアビジョン - 6 ブライトエアリー,100,10
20260418_FUKUSHIMA_02,3歳未勝利,馬連,5 キャリアビジョン,5 キャリアビジョン - 2 アルティマローネ,100,10
20260418_FUKUSHIMA_02,3歳未勝利,3連複,5 キャリアビジョン,5 キャリアビジョン - 4 カルダモン - 6 ブライトエアリー,100,10
20260418_FUKUSHIMA_02,3歳未勝利,3連複,5 キャリアビジョン,5 キャリアビジョン - 4 カルダモン - 2 アルティマローネ,100,10
20260418_FUKUSHIMA_02,3歳未勝利,3連複,5 キャリアビジョン,5 キャリアビジョン - 6 ブライトエアリー - 2 アルティマローネ,100,10
20260418_FUKUSHIMA_03,3歳未勝利,ワイド,9 ノーブルクロンヌ,9 ノーブルクロンヌ - 6 タイガーロード,100,10
20260418_FUKUSHIMA_03,3歳未勝利,ワイド,9 ノーブルクロンヌ,9 ノーブルクロンヌ - 15 マイネルユーゲント,100,10
20260418_FUKUSHIMA_03,3歳未勝利,ワイド,9 ノーブルクロンヌ,9 ノーブルクロンヌ - 11 マテンロウノア,100,10
20260418_FUKUSHIMA_03,3歳未勝利,馬連,9 ノーブルクロンヌ,9 ノーブルクロンヌ - 6 タイガーロード,100,10
20260418_FUKUSHIMA_03,3歳未勝利,馬連,9 ノーブルクロンヌ,9 ノーブルクロンヌ - 15 マイネルユーゲント,100,10
20260418_FUKUSHIMA_03,3歳未勝利,馬連,9 ノーブルクロンヌ,9 ノーブルクロンヌ - 11 マテンロウノア,100,10
20260418_FUKUSHIMA_03,3歳未勝利,3連複,9 ノーブルクロンヌ,9 ノーブルクロンヌ - 6 タイガーロード - 15 マイネルユーゲント,100,10
20260418_FUKUSHIMA_03,3歳未勝利,3連複,9 ノーブルクロンヌ,9 ノーブルクロンヌ - 6 タイガーロード - 11 マテンロウノア,100,10
20260418_FUKUSHIMA_03,3歳未勝利,3連複,9 ノーブルクロンヌ,9 ノーブルクロンヌ - 15 マイネルユーゲント - 11 マテンロウノア,100,10
20260418_FUKUSHIMA_04,3歳未勝利,ワイド,4 ドナソラーレ,4 ドナソラーレ - 12 エタンセル,100,10
20260418_FUKUSHIMA_04,3歳未勝利,ワイド,4 ドナソラーレ,4 ドナソラーレ - 5 ホウオウモチーヴ,100,10
20260418_FUKUSHIMA_04,3歳未勝利,ワイド,4 ドナソラーレ,4 ドナソラーレ - 8 メイショウタイザン,100,10
20260418_FUKUSHIMA_04,3歳未勝利,馬連,4 ドナソラーレ,4 ドナソラーレ - 12 エタンセル,100,10
20260418_FUKUSHIMA_04,3歳未勝利,馬連,4 ドナソラーレ,4 ドナソラーレ - 5 ホウオウモチーヴ,100,10
20260418_FUKUSHIMA_04,3歳未勝利,馬連,4 ドナソラーレ,4 ドナソラーレ - 8 メイショウタイザン,100,10
20260418_FUKUSHIMA_04,3歳未勝利,3連複,4 ドナソラーレ,4 ドナソラーレ - 12 エタンセル - 5 ホウオウモチーヴ,100,10
20260418_FUKUSHIMA_04,3歳未勝利,3連複,4 ドナソラーレ,4 ドナソラーレ - 12 エタンセル - 8 メイショウタイザン,100,10
20260418_FUKUSHIMA_04,3歳未勝利,3連複,4 ドナソラーレ,4 ドナソラーレ - 5 ホウオウモチーヴ - 8 メイショウタイザン,100,10
20260418_FUKUSHIMA_05,3歳未勝利,ワイド,2 テクノビーチ,2 テクノビーチ - 14 ブランドブラン,100,10
20260418_FUKUSHIMA_05,3歳未勝利,ワイド,2 テクノビーチ,2 テクノビーチ - 1 モンロワイヤル,100,10
20260418_FUKUSHIMA_05,3歳未勝利,ワイド,2 テクノビーチ,2 テクノビーチ - 8 イーサンミラー,100,10
20260418_FUKUSHIMA_05,3歳未勝利,馬連,2 テクノビーチ,2 テクノビーチ - 14 ブランドブラン,100,10
20260418_FUKUSHIMA_05,3歳未勝利,馬連,2 テクノビーチ,2 テクノビーチ - 1 モンロワイヤル,100,10
