race_id,bet_type,bets,comment
20260405_NAKAYAMA_01,ワイド,ギンケイ-キタノエピックアン / ギンケイ-タイセイルビー,軸から相手へ
20260405_NAKAYAMA_01,馬連,ギンケイ-キタノエピックアン / ギンケイ-タイセイルビー,軸から流し
20260405_NAKAYAMA_01,三連複,ギンケイ-キタノエピックアン-タイセイルビー,軸1頭 + 相手2頭
20260405_NAKAYAMA_02,ワイド,ラインジーク-ミスタートントン / ラインジーク-ヘイスティハート,軸から相手へ
20260405_NAKAYAMA_02,馬連,ラインジーク-ミスタートントン / ラインジーク-ヘイスティハート,軸から流し
20260405_NAKAYAMA_02,三連複,ラインジーク-ミスタートントン-ヘイスティハート,軸1頭 + 相手2頭
20260405_NAKAYAMA_03,ワイド,ミスターキャンベラ-モロノカガヤキ / ミスターキャンベラ-コスモラムバック,軸から相手へ
20260405_NAKAYAMA_03,馬連,ミスターキャンベラ-モロノカガヤキ / ミスターキャンベラ-コスモラムバック,軸から流し
20260405_NAKAYAMA_03,三連複,ミスターキャンベラ-モロノカガヤキ-コスモラムバック,軸1頭 + 相手2頭
20260405_NAKAYAMA_04,ワイド,シャンデルナゴル-オンクラウドナイン / シャンデルナゴル-エクロジャイト,軸から相手へ
20260405_NAKAYAMA_04,馬連,シャンデルナゴル-オンクラウドナイン / シャンデルナゴル-エクロジャイト,軸から流し
20260405_NAKAYAMA_04,三連複,シャンデルナゴル-オンクラウドナイン-エクロジャイト,軸1頭 + 相手2頭
20260405_NAKAYAMA_05,ワイド,エリュグレイス-ショウナンサイオウ / エリュグレイス-ファーザーアウェイ,軸から相手へ
20260405_NAKAYAMA_05,馬連,エリュグレイス-ショウナンサイオウ / エリュグレイス-ファーザーアウェイ,軸から流し
20260405_NAKAYAMA_05,三連複,エリュグレイス-ショウナンサイオウ-ファーザーアウェイ,軸1頭 + 相手2頭
20260405_NAKAYAMA_06,ワイド,アレンスター-テンカムテキ,軸から相手へ
20260405_NAKAYAMA_06,馬連,アレンスター-テンカムテキ,軸から流し
20260405_NAKAYAMA_07,ワイド,ニルマーネル-ファインサマーデイ / ニルマーネル-ベレーバスク,軸から相手へ
20260405_NAKAYAMA_07,馬連,ニルマーネル-ファインサマーデイ / ニルマーネル-ベレーバスク,軸から流し
20260405_NAKAYAMA_07,三連複,ニルマーネル-ファインサマーデイ-ベレーバスク,軸1頭 + 相手2頭
20260405_NAKAYAMA_08,ワイド,リッキースタイル-エコロカディス,軸から相手へ
20260405_NAKAYAMA_08,馬連,リッキースタイル-エコロカディス,軸から流し
20260405_NAKAYAMA_09,ワイド,オストラヴァ-イクリール / オストラヴァ-カーミングライツ,軸から相手へ
20260405_NAKAYAMA_09,馬連,オストラヴァ-イクリール / オストラヴァ-カーミングライツ,軸から流し
20260405_NAKAYAMA_09,三連複,オストラヴァ-イクリール-カーミングライツ,軸1頭 + 相手2頭
20260405_NAKAYAMA_10,ワイド,デルアヴァー-メリークリスマス / デルアヴァー-ウィンドフォール,軸から相手へ
20260405_NAKAYAMA_10,馬連,デルアヴァー-メリークリスマス / デルアヴァー-ウィンドフォール,軸から流し
20260405_NAKAYAMA_10,三連複,デルアヴァー-メリークリスマス-ウィンドフォール,軸1頭 + 相手2頭
20260405_NAKAYAMA_11,ワイド,ヤマニンアドホック-ジュタ / ヤマニンアドホック-クルミナーレ,軸から相手へ
20260405_NAKAYAMA_11,馬連,ヤマニンアドホック-ジュタ / ヤマニンアドホック-クルミナーレ,軸から流し
20260405_NAKAYAMA_11,三連複,ヤマニンアドホック-ジュタ-クルミナーレ,軸1頭 + 相手2頭
20260405_NAKAYAMA_12,ワイド,プリムツァール-リバーバレイト / プリムツァール-パワースナッチ,軸から相手へ
20260405_NAKAYAMA_12,馬連,プリムツァール-リバーバレイト / プリムツァール-パワースナッチ,軸から流し
20260405_NAKAYAMA_12,三連複,プリムツァール-リバーバレイト-パワースナッチ,軸1頭 + 相手2頭
20260405_HANSHIN_01,ワイド,マリブサーフ-エバイダンス / マリブサーフ-タガノプディング,軸から相手へ
20260405_HANSHIN_01,馬連,マリブサーフ-エバイダンス / マリブサーフ-タガノプディング,軸から流し
20260405_HANSHIN_01,三連複,マリブサーフ-エバイダンス-タガノプディング,軸1頭 + 相手2頭
20260405_HANSHIN_02,ワイド,タイセイサーブル-マイカラー / タイセイサーブル-アウトリュコス,軸から相手へ
