race_id,bet_type,rank,numbers,name1,name2,mark1,mark2,prob
20260503_KYOTO_01,馬連,1,6-7,スマッシング,アマノガワギンガ (新馬),×,△,6.49
20260503_KYOTO_01,馬連,2,7-10,アマノガワギンガ (新馬),プリンセスアツコ,△,×,5.88
20260503_KYOTO_01,馬連,3,6-10,スマッシング,プリンセスアツコ,×,×,4.79
20260503_KYOTO_01,馬連,4,3-7,バビブベピンク (新馬),アマノガワギンガ (新馬),×,△,3.34
20260503_KYOTO_01,馬連,5,7-14,アマノガワギンガ (新馬),クイーンザノリピー,△,○,3.34
20260503_KYOTO_01,馬連,6,3-6,バビブベピンク (新馬),スマッシング,×,×,2.72
20260503_KYOTO_01,馬連,7,6-14,スマッシング,クイーンザノリピー,×,○,2.72
20260503_KYOTO_01,馬連,8,2-7,ヤマニンコルザ (新馬),アマノガワギンガ (新馬),×,△,2.69
20260503_KYOTO_01,馬連,9,10-14,プリンセスアツコ,クイーンザノリピー,×,○,2.47
20260503_KYOTO_01,馬連,10,3-10,バビブベピンク (新馬),プリンセスアツコ,×,×,2.47
20260503_KYOTO_01,ワイド,1,13-14,ストリートクイーン,クイーンザノリピー,◎,○,50.36
20260503_KYOTO_01,ワイド,2,4-13,タガノシルフィー,ストリートクイーン,▲,◎,17.48
20260503_KYOTO_01,ワイド,3,4-14,タガノシルフィー,クイーンザノリピー,▲,○,16.61
20260503_KYOTO_01,ワイド,4,6-7,スマッシング,アマノガワギンガ (新馬),×,△,16.22
20260503_KYOTO_01,ワイド,5,7-10,アマノガワギンガ (新馬),プリンセスアツコ,△,×,14.71
20260503_KYOTO_01,ワイド,6,7-13,アマノガワギンガ (新馬),ストリートクイーン,△,◎,13.6
20260503_KYOTO_01,ワイド,7,7-14,アマノガワギンガ (新馬),クイーンザノリピー,△,○,12.92
20260503_KYOTO_01,ワイド,8,6-10,スマッシング,プリンセスアツコ,×,×,11.99
20260503_KYOTO_01,ワイド,9,11-13,ゴールドアテネ,ストリートクイーン,△,◎,9.54
20260503_KYOTO_01,ワイド,10,9-13,ピカラ,ストリートクイーン,×,◎,9.42
20260503_KYOTO_02,馬連,1,2-11,エクストラブッシュ (新馬),グランシャン,◎,▲,11.69
20260503_KYOTO_02,馬連,2,2-4,エクストラブッシュ (新馬),アスクハッピーマン (新馬),◎,○,11.34
20260503_KYOTO_02,馬連,3,4-11,アスクハッピーマン (新馬),グランシャン,○,▲,11.34
20260503_KYOTO_02,馬連,4,2-9,エクストラブッシュ (新馬),グランワールド,◎,△,6.1
20260503_KYOTO_02,馬連,5,9-11,グランワールド,グランシャン,△,▲,6.1
20260503_KYOTO_02,馬連,6,4-9,アスクハッピーマン (新馬),グランワールド,○,△,5.92
20260503_KYOTO_02,馬連,7,5-11,ポップアップ,グランシャン,×,▲,3.41
20260503_KYOTO_02,馬連,8,2-5,エクストラブッシュ (新馬),ポップアップ,◎,×,3.41
20260503_KYOTO_02,馬連,9,4-5,アスクハッピーマン (新馬),ポップアップ,○,×,3.3
20260503_KYOTO_02,馬連,10,2-10,エクストラブッシュ (新馬),ヒラボクソライア,◎,×,2.18
20260503_KYOTO_02,ワイド,1,2-11,エクストラブッシュ (新馬),グランシャン,◎,▲,29.21
20260503_KYOTO_02,ワイド,2,2-4,エクストラブッシュ (新馬),アスクハッピーマン (新馬),◎,○,28.34
20260503_KYOTO_02,ワイド,3,4-11,アスクハッピーマン (新馬),グランシャン,○,▲,28.34
20260503_KYOTO_02,ワイド,4,2-9,エクストラブッシュ (新馬),グランワールド,◎,△,23.18
20260503_KYOTO_02,ワイド,5,4-9,アスクハッピーマン (新馬),グランワールド,○,△,19.92
20260503_KYOTO_02,ワイド,6,2-12,エクストラブッシュ (新馬),メイショウサッソウ,◎,△,19.37
20260503_KYOTO_02,ワイド,7,9-11,グランワールド,グランシャン,△,▲,19.07
20260503_KYOTO_02,ワイド,8,4-12,アスクハッピーマン (新馬),メイショウサッソウ,○,△,16.65
20260503_KYOTO_02,ワイド,9,11-12,グランシャン,メイショウサッソウ,▲,△,15.94
20260503_KYOTO_02,ワイド,10,9-12,グランワールド,メイショウサッソウ,△,△,14.93
20260503_KYOTO_03,馬連,1,11-15,ウンナターシャ,ヤマニンエルファバ,▲,×,7.79
20260503_KYOTO_03,馬連,2,13-15,トリビア,ヤマニンエルファバ,◎,×,6.31
20260503_KYOTO_03,馬連,3,6-15,ジーティービキニ,ヤマニンエルファバ,×,×,6.03
20260503_KYOTO_03,馬連,4,14-15,レザーアンドレース,ヤマニンエルファバ,×,×,5.05
20260503_KYOTO_03,馬連,5,10-15,オヤツノジカン,ヤマニンエルファバ,×,×,3.88
20260503_KYOTO_03,馬連,6,4-15,ウルダ,ヤマニンエルファバ,○,×,3.88
20260503_KYOTO_03,馬連,7,12-15,ブルーフリーディン (新馬),ヤマニンエルファバ,×,×,3.88
20260503_KYOTO_03,馬連,8,5-15,コイタマチャン,ヤマニンエルファバ,×,×,3.18
20260503_KYOTO_03,馬連,9,2-15,デルマタイセツ,ヤマニンエルファバ,△,×,2.71
20260503_KYOTO_03,馬連,10,1-15,スマートピクタス,ヤマニンエルファバ,△,×,2.49
20260503_KYOTO_03,ワイド,1,4-13,ウルダ,トリビア,○,◎,25.6
20260503_KYOTO_03,ワイド,2,11-15,ウンナターシャ,ヤマニンエルファバ,▲,×,19.48
20260503_KYOTO_03,ワイド,3,11-13,ウンナターシャ,トリビア,▲,◎,19.02
20260503_KYOTO_03,ワイド,4,2-13,デルマタイセツ,トリビア,△,◎,18.05
20260503_KYOTO_03,ワイド,5,4-11,ウルダ,ウンナターシャ,○,▲,17.79
20260503_KYOTO_03,ワイド,6,2-4,デルマタイセツ,ウルダ,△,○,16.88
20260503_KYOTO_03,ワイド,7,1-13,スマートピクタス,トリビア,△,◎,16.13
20260503_KYOTO_03,ワイド,8,6-13,ジーティービキニ,トリビア,×,◎,15.85
20260503_KYOTO_03,ワイド,9,13-15,トリビア,ヤマニンエルファバ,◎,×,15.78
20260503_KYOTO_03,ワイド,10,1-4,スマートピクタス,ウルダ,△,○,15.09
20260503_KYOTO_04,馬連,1,4-11,エアルチーナ (新馬),マジョレルブルー,×,×,11.04
20260503_KYOTO_04,馬連,2,7-11,ダノンミッドナイト,マジョレルブルー,▲,×,8.82
20260503_KYOTO_04,馬連,3,8-11,パーヴォ,マジョレルブルー,△,×,8.62
20260503_KYOTO_04,馬連,4,4-7,エアルチーナ (新馬),ダノンミッドナイト,×,▲,7.82
20260503_KYOTO_04,馬連,5,4-8,エアルチーナ (新馬),パーヴォ,×,△,7.65
20260503_KYOTO_04,馬連,6,7-8,ダノンミッドナイト,パーヴォ,▲,△,6.11
