race_id,race_name,horse_name,horse_no,signal,confidence_label,win_prob,win_odds,win_ev,bet_percent,bet_grade,action,reason
20260418_FUKUSHIMA_01,3歳未勝利,メイショウイブキ,14,軸,S,0.3096,2.6,0.805,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=31.0% / 期待値=0.805
20260418_FUKUSHIMA_02,3歳未勝利,カルダモン,4,軸,B,0.2167,3.7,0.8018,0,見送り,様子見,signal=軸 / 信頼度=B / 勝率=21.7% / 期待値=0.802
20260418_FUKUSHIMA_03,3歳未勝利,タイガーロード,6,軸,A,0.2361,3.4,0.8029,0,見送り,様子見,signal=軸 / 信頼度=A / 勝率=23.6% / 期待値=0.803
20260418_FUKUSHIMA_04,3歳未勝利,エタンセル,12,軸,S,0.2862,2.8,0.8014,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=28.6% / 期待値=0.801
20260418_FUKUSHIMA_05,3歳未勝利,ブランドブラン,14,軸,A,0.2431,3.3,0.8021,0,見送り,様子見,signal=軸 / 信頼度=A / 勝率=24.3% / 期待値=0.802
20260418_FUKUSHIMA_06,3歳未勝利,ベルトヌッキ,2,軸,S,0.3189,2.5,0.7973,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=31.9% / 期待値=0.797
20260418_FUKUSHIMA_07,4歳以上1勝クラス,キャリーグレイス,8,軸,B,0.2168,3.7,0.8022,0,見送り,様子見,signal=軸 / 信頼度=B / 勝率=21.7% / 期待値=0.802
20260418_FUKUSHIMA_08,4歳以上1勝クラス,ハイクオリティ,8,軸,S,0.2973,2.7,0.8027,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=29.7% / 期待値=0.803
20260418_FUKUSHIMA_09,ひめさゆり賞,マイネルシンベリン,6,軸,A,0.266,3.0,0.7979,0,見送り,様子見,signal=軸 / 信頼度=A / 勝率=26.6% / 期待値=0.798
20260418_FUKUSHIMA_10,桑折特別,ルールーリマ,2,軸,B,0.211,3.8,0.8016,0,見送り,様子見,signal=軸 / 信頼度=B / 勝率=21.1% / 期待値=0.802
20260418_FUKUSHIMA_11,ラジオ福島賞,モレロプラーノ,2,軸,B,0.1668,4.8,0.8004,0,見送り,様子見,signal=軸 / 信頼度=B / 勝率=16.7% / 期待値=0.800
20260418_FUKUSHIMA_12,4歳以上1勝クラス,ベルファスト,5,軸,A,0.2574,3.1,0.798,0,見送り,様子見,signal=軸 / 信頼度=A / 勝率=25.7% / 期待値=0.798
20260418_HANSHIN_01,3歳未勝利,ジーティービキニ,3,軸,S,0.3345,2.5,0.8361,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=33.5% / 期待値=0.836
20260418_HANSHIN_02,3歳未勝利,マリリンバローズ,4,軸,S,0.3452,2.3,0.794,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=34.5% / 期待値=0.794
20260418_HANSHIN_03,3歳未勝利,エイシンリブウェル,6,軸,B,0.2414,3.3,0.7965,0,見送り,様子見,signal=軸 / 信頼度=B / 勝率=24.1% / 期待値=0.796
20260418_HANSHIN_04,3歳未勝利,ダノンテムズ,5,軸,S,0.3471,2.3,0.7983,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=34.7% / 期待値=0.798
20260418_HANSHIN_05,3歳1勝クラス,ロングトールサリー,5,軸,S,0.475,1.7,0.8075,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=47.5% / 期待値=0.807
20260418_HANSHIN_06,3歳1勝クラス,ショコラプリン,3,軸,B,0.2569,3.9,1.0019,0,少額,少額買い,signal=軸 / 信頼度=B / 勝率=25.7% / 期待値=1.002
20260418_HANSHIN_07,4歳以上1勝クラス,エーデルヴェーグ,2,軸,S,0.3057,2.6,0.7949,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=30.6% / 期待値=0.795
20260418_HANSHIN_08,4歳以上1勝クラス,ノラリクラリ,4,軸,S,0.3064,2.6,0.7966,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=30.6% / 期待値=0.797
20260418_HANSHIN_09,吹田特別,メイケイレイン,3,軸,B,0.1998,4.0,0.7992,0,見送り,様子見,signal=軸 / 信頼度=B / 勝率=20.0% / 期待値=0.799
20260418_HANSHIN_10,丹波特別,ライラ,1,軸,S,0.3637,2.2,0.8002,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=36.4% / 期待値=0.800
20260418_HANSHIN_11,アンタレスS,ムルソー,4,軸,B,0.1901,4.7,0.8934,0,見送り,様子見,signal=軸 / 信頼度=B / 勝率=19.0% / 期待値=0.893
20260418_HANSHIN_12,4歳以上1勝クラス,ロードヴァルカン,12,軸,S,0.2978,2.7,0.8042,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=29.8% / 期待値=0.804
20260418_NAKAYAMA_01,3歳未勝利,クアロアランチ,15,軸,S,0.3783,2.1,0.7945,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=37.8% / 期待値=0.794
20260418_NAKAYAMA_02,3歳未勝利,キセログラフィカ,6,軸,B,0.2563,3.1,0.7946,0,見送り,様子見,signal=軸 / 信頼度=B / 勝率=25.6% / 期待値=0.795
20260418_NAKAYAMA_03,3歳未勝利,クリオロゴールド,11,軸,S,0.4468,1.8,0.8042,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=44.7% / 期待値=0.804
20260418_NAKAYAMA_04,3歳未勝利,マサッチェハマー,8,軸,S,0.3491,2.3,0.803,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=34.9% / 期待値=0.803
20260418_NAKAYAMA_05,3歳未勝利,ベルウィクトール,8,軸,S,0.6634,1.2,0.7961,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=66.3% / 期待値=0.796
20260418_NAKAYAMA_06,3歳1勝クラス,ルージュボヤージュ,2,軸,B,0.3468,2.3,0.7976,0,見送り,様子見,signal=軸 / 信頼度=B / 勝率=34.7% / 期待値=0.798
20260418_NAKAYAMA_07,4歳以上1勝クラス,リポサンテ,10,軸,B,0.2283,3.5,0.799,0,見送り,様子見,signal=軸 / 信頼度=B / 勝率=22.8% / 期待値=0.799
20260418_NAKAYAMA_08,4歳以上1勝クラス,ニヒトツーゼーア,16,軸,S,0.2963,2.7,0.7999,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=29.6% / 期待値=0.800
20260418_NAKAYAMA_09,袖ケ浦特別,アオイレーギーナ,12,軸,A,0.2769,2.9,0.8031,0,見送り,様子見,signal=軸 / 信頼度=A / 勝率=27.7% / 期待値=0.803
20260418_NAKAYAMA_10,下総S,バギーウィップ,10,軸,B,0.1777,4.5,0.7999,0,見送り,様子見,signal=軸 / 信頼度=B / 勝率=17.8% / 期待値=0.800
20260418_NAKAYAMA_11,中山グランドJ,エコロデュエル,6,軸,S,0.4395,1.8,0.791,0,見送り,様子見,signal=軸 / 信頼度=S / 勝率=44.0% / 期待値=0.791
20260418_NAKAYAMA_12,葛飾特別,ハヤテノツバサ,7,軸,B,0.2778,2.9,0.8057,0,見送り,様子見,signal=軸 / 信頼度=B / 勝率=27.8% / 期待値=0.806
