race_id,race_date,venue,race_no,horse_no,gate_no,horse_name,jockey_name,win_odds,race_name,開催,単勝オッズ,騎手,枠番,馬番,レース番号,日付(yyyy.mm.dd),馬名,is_new,is_first_dirt,is_first_turf,raw_win_prob,top3_prob,win_prob,market_prob,win_ev,signal,印,mark,recommendation,ability_score,confidence_rank,confidence_label
20260503_TOKYO_01,2026-05-03,TOKYO,1,1,1,ウォータースパウト,高杉,6.7,3歳未勝利,TOKYO,6.7,高杉,1,1,1,2026-05-03,ウォータースパウト,0,0,0,0.021073630275240014,0.15483449523658072,0.11781660597199042,0.0003273826087810563,0.7893712600123358,単穴,▲,ana,単穴,42.3,SS,鉄板
20260503_TOKYO_01,2026-05-03,TOKYO,1,2,2,ルンベーラ,佐々木,42.9,3歳未勝利,TOKYO,42.9,佐々木,2,2,1,2026-05-03,ルンベーラ,0,0,0,0.006481737072452711,0.12925800290267883,0.01840026247115002,5.112968482128385e-05,0.7893712600123358,連下,△,renka,連下,33.7,SS,鉄板
20260503_TOKYO_01,2026-05-03,TOKYO,1,3,2,エフハリスト,横山和,7.1,3歳未勝利,TOKYO,7.1,横山和,2,3,1,2026-05-03,エフハリスト,0,0,0,0.02519685622911066,0.15369558232084443,0.1111790507059628,0.00030893851814550385,0.7893712600123358,連下,△,renka,連下,52.3,SS,鉄板
20260503_TOKYO_01,2026-05-03,TOKYO,1,4,3,キャルキュラス,ディー,18.4,3歳未勝利,TOKYO,18.4,ディー,3,4,1,2026-05-03,キャルキュラス (新馬or初芝ダ),1,0,0,0.013137733271913855,0.10611214067006575,0.04290061195719217,0.00011920997167571073,0.7893712600123359,様子見,×,cancel,様子見,47.4,SS,鉄板
20260503_TOKYO_01,2026-05-03,TOKYO,1,5,3,アスパラゴ,大野,32.2,3歳未勝利,TOKYO,32.2,大野,3,5,1,2026-05-03,アスパラゴ,0,0,0,0.005373164711999291,0.025125600129956085,0.024514635404109808,6.811998381469184e-05,0.7893712600123359,様子見,×,cancel,様子見,28.2,SS,鉄板
20260503_TOKYO_01,2026-05-03,TOKYO,1,6,4,グレープレモネード,松岡,128.8,3歳未勝利,TOKYO,128.8,松岡,4,6,1,2026-05-03,グレープレモネード (新馬or初芝ダ),1,0,0,0.0012350947676458505,0.016730189023833057,0.006128658851027452,1.702999595367296e-05,0.7893712600123359,様子見,×,cancel,様子見,20.0,SS,鉄板
20260503_TOKYO_01,2026-05-03,TOKYO,1,7,4,フレンチブラッサム,木幡巧,42.9,3歳未勝利,TOKYO,42.9,木幡巧,4,7,1,2026-05-03,フレンチブラッサム,0,0,0,0.004669886639114404,0.04187727646654824,0.01840026247115002,5.112968482128385e-05,0.7893712600123358,様子見,×,cancel,様子見,27.5,SS,鉄板
20260503_TOKYO_01,2026-05-03,TOKYO,1,8,5,アジャイブ,△長浜,42.9,3歳未勝利,TOKYO,42.9,△長浜,5,8,1,2026-05-03,アジャイブ,0,0,0,0.005290416475859721,0.020523570452443067,0.01840026247115002,5.112968482128385e-05,0.7893712600123358,様子見,×,cancel,様子見,29.5,SS,鉄板
20260503_TOKYO_01,2026-05-03,TOKYO,1,9,5,ディープマウンテン,木幡初,64.4,3歳未勝利,TOKYO,64.4,木幡初,5,9,1,2026-05-03,ディープマウンテン,0,0,0,0.00635917828486833,0.11549561706827205,0.012257317702054904,3.405999190734592e-05,0.7893712600123359,様子見,×,cancel,様子見,36.7,SS,鉄板
20260503_TOKYO_01,2026-05-03,TOKYO,1,10,6,シンデレラカラー,岩田康,14.3,3歳未勝利,TOKYO,14.3,岩田康,6,10,1,2026-05-03,シンデレラカラー,0,0,0,0.013920498025213076,0.09993341512459836,0.05520078741345005,0.00015338905446385154,0.7893712600123358,様子見,×,cancel,様子見,46.3,SS,鉄板
20260503_TOKYO_01,2026-05-03,TOKYO,1,11,6,ライヴマルガリータ,石橋脩,8.5,3歳未勝利,TOKYO,8.5,石橋脩,6,11,1,2026-05-03,ライヴマルガリータ,0,0,0,0.02040920976735721,0.08658909734063842,0.09286720706027479,0.0002580545269215385,0.7893712600123357,様子見,×,cancel,様子見,50.8,SS,鉄板
20260503_TOKYO_01,2026-05-03,TOKYO,1,12,7,イデクリスタル,横山武,7.5,3歳未勝利,TOKYO,7.5,横山武,7,12,1,2026-05-03,イデクリスタル (新馬or初芝ダ),1,0,0,0.04092753324622061,0.20755949271613122,0.10524950133497811,0.0002924617971777436,0.7893712600123358,連下,△,renka,連下,92.0,SS,鉄板
20260503_TOKYO_01,2026-05-03,TOKYO,1,13,7,ブルーサーマル,原,2.9,3歳未勝利,TOKYO,2.9,原,7,13,1,2026-05-03,ブルーサーマル,0,0,0,0.0228611991098082,1.0,0.2721969862111503,0.0007563667168389922,0.7893712600123358,軸,◎,honmei,最有力,26.5,SS,鉄板
20260503_TOKYO_01,2026-05-03,TOKYO,1,14,8,マウンテンドーター,柴田大,25.7,3歳未勝利,TOKYO,25.7,柴田大,8,14,1,2026-05-03,マウンテンドーター (新馬or初芝ダ),1,0,0,0.010702693526833236,0.08865655647467878,0.030714835019935247,8.534877349545048e-05,0.7893712600123358,様子見,×,cancel,様子見,43.7,SS,鉄板
20260503_TOKYO_01,2026-05-03,TOKYO,1,15,8,メリティス,吉田豊,10.7,3歳未勝利,TOKYO,10.7,吉田豊,8,15,1,2026-05-03,メリティス,0,0,0,0.01414372078717328,0.4223025462848704,0.07377301495442391,0.00020499658680682968,0.7893712600123358,対抗,○,taikou,対抗,43.2,SS,鉄板
20260503_TOKYO_02,2026-05-03,TOKYO,2,1,1,マッシブショット,江田照,24.9,3歳未勝利,TOKYO,24.9,江田照,1,1,2,2026-05-03,マッシブショット,0,0,0,0.01923360223491534,0.09300074575171247,0.03208353002753729,9.230209738055879e-05,0.7988798976856785,様子見,×,cancel,様子見,23.7,SS,鉄板
20260503_TOKYO_02,2026-05-03,TOKYO,2,2,2,キタノドンカルロ,柴田大,27.6,3歳未勝利,TOKYO,27.6,柴田大,2,2,2,2026-05-03,キタノドンカルロ,0,0,0,0.008773218467574187,0.04367341278293554,0.02894492382919125,8.327254437593891e-05,0.7988798976856786,様子見,×,cancel,様子見,20.8,SS,鉄板
20260503_TOKYO_02,2026-05-03,TOKYO,2,3,3,リトルコリンズ,石橋脩,65.6,3歳未勝利,TOKYO,65.6,石橋脩,3,3,2,2026-05-03,リトルコリンズ,0,0,0,0.0038103939018943847,0.01820419062573451,0.012178047220818269,3.5035399767925515e-05,0.7988798976856784,様子見,×,cancel,様子見,20.0,SS,鉄板
20260503_TOKYO_02,2026-05-03,TOKYO,2,4,4,キーチジャステン,△長浜,7.8,3歳未勝利,TOKYO,7.8,△長浜,4,4,2,2026-05-03,キーチジャステン (新馬or初芝ダ),1,0,0,0.03606897718407287,0.12980420624607067,0.10242049970329213,0.00029465669548409156,0.7988798976856786,様子見,×,cancel,様子見,24.2,SS,鉄板
20260503_TOKYO_02,2026-05-03,TOKYO,2,5,5,レビュニット,ディー,6.1,3歳未勝利,TOKYO,6.1,ディー,5,5,2,2026-05-03,レビュニット (新馬or初芝ダ),1,0,0,0.04740046346457601,0.17015869427009964,0.1309639176533899,0.0003767741352091662,0.7988798976856785,様子見,×,cancel,様子見,24.4,SS,鉄板
20260503_TOKYO_02,2026-05-03,TOKYO,2,6,6,エメラルファイン,木幡巧,40.3,3歳未勝利,TOKYO,40.3,木幡巧,6,6,2,2026-05-03,エメラルファイン,0,0,0,0.29039101230669867,0.5624842022396638,0.01982332252321783,5.7030328158211265e-05,0.7988798976856786,対抗,○,taikou,対抗,92.0,SS,鉄板
20260503_TOKYO_02,2026-05-03,TOKYO,2,7,7,ブルーミーティア,菅原明,9.2,3歳未勝利,TOKYO,9.2,菅原明,7,7,2,2026-05-03,ブルーミーティア,0,0,0,0.018005732659537935,0.30861353210235876,0.08683477148757375,0.0002498176331278167,0.7988798976856785,連下,△,renka,連下,21.6,SS,鉄板
20260503_TOKYO_02,2026-05-03,TOKYO,2,8,8,ハピナスター,松岡,74.9,3歳未勝利,TOKYO,74.9,松岡,8,8,2,2026-05-03,ハピナスター,0,0,0,0.05621220964586976,0.10532820771872949,0.010665953240129217,3.0685209943603655e-05,0.7988798976856785,様子見,×,cancel,様子見,45.3,SS,鉄板
20260503_TOKYO_02,2026-05-03,TOKYO,2,9,9,レオスキーム,原,26.2,3歳未勝利,TOKYO,26.2,原,9,9,2,2026-05-03,レオスキーム,0,0,0,0.005037212452236936,0.012082932104046661,0.03049159914830834,8.772222231969137e-05,0.7988798976856785,様子見,×,cancel,様子見,20.0,SS,鉄板
20260503_TOKYO_02,2026-05-03,TOKYO,2,10,10,レイズレガシー,横山武,3.8,3歳未勝利,TOKYO,3.8,横山武,10,10,2,2026-05-03,レイズレガシー,0,0,0,0.041198866849502774,0.264664261402009,0.21023155202254695,0.0006048216380989247,0.7988798976856784,連下,△,renka,連下,21.5,SS,鉄板
20260503_TOKYO_02,2026-05-03,TOKYO,2,11,11,ライカ,大野,6.1,3歳未勝利,TOKYO,6.1,大野,11,11,2,2026-05-03,ライカ,0,0,0,0.10614530336901255,0.35627564565438996,0.1309639176533899,0.0003767741352091662,0.7988798976856785,単穴,▲,ana,単穴,33.7,SS,鉄板
20260503_TOKYO_02,2026-05-03,TOKYO,2,12,12,セツナサ,三浦,10.7,3歳未勝利,TOKYO,10.7,三浦,12,12,2,2026-05-03,セツナサ,0,0,0,0.017932811973360396,0.6250719542085575,0.07466167268090454,0.00021479646960522562,0.7988798976856785,軸,◎,honmei,最有力,22.0,SS,鉄板
20260503_TOKYO_02,2026-05-03,TOKYO,2,13,13,プリプリプリン,▲佐藤,20.1,3歳未勝利,TOKYO,20.1,▲佐藤,13,13,2,2026-05-03,プリプリプリン (新馬or初芝ダ),1,0,0,0.012578145467446806,0.06142542263310671,0.03974526854157604,0.000114344389292334,0.7988798976856785,様子見,×,cancel,様子見,21.5,SS,鉄板
20260503_TOKYO_02,2026-05-03,TOKYO,2,14,14,マイネルテオドロス,高杉,15.4,3歳未勝利,TOKYO,15.4,高杉,14,14,2,2026-05-03,マイネルテオドロス,0,0,0,0.012334454472967805,0.2078800276491574,0.051875318031537554,0.00014924170290752685,0.7988798976856784,連下,△,renka,連下,21.2,SS,鉄板
