race_id,race_no,race_date,venue,日付(yyyy.mm.dd),開催,レース番号,top_horse,top_signal,top_win_prob,top_top3prob,top_win_ev,field_size,confidence_rank,confidence_label
20260502_TOKYO_01,1,2026-05-02,TOKYO,2026-05-02,TOKYO,1,ホワイトオパール,穴,0.24931076636571808,0.7388672995165456,0.797794452370298,16,C,難解
20260502_TOKYO_02,2,2026-05-02,TOKYO,2026-05-02,TOKYO,2,ベリルスフィア,穴,0.5781563611025011,1.0,0.8094189055435016,14,S,本命
20260502_TOKYO_03,3,2026-05-02,TOKYO,2026-05-02,TOKYO,3,アイムスティルミー,軸,0.2862440095197997,0.9585619247227247,0.8014832266554394,9,A,有力
20260502_TOKYO_04,4,2026-05-02,TOKYO,2026-05-02,TOKYO,4,カキュウ,穴,0.3635482613945417,0.9483943911160154,0.799806175067992,10,S,本命
20260502_TOKYO_05,5,2026-05-02,TOKYO,2026-05-02,TOKYO,5,ファンシーズ,穴,0.15092122251749499,0.4595839200700783,0.7998824793427234,18,A,有力
20260502_TOKYO_06,6,2026-05-02,TOKYO,2026-05-02,TOKYO,6,シャンドゥレール,穴,0.46711576686099654,1.0,0.7940968036636942,7,S,本命
20260502_TOKYO_07,7,2026-05-02,TOKYO,2026-05-02,TOKYO,7,エルオレンス,穴,0.2665307362947914,0.7253190956669869,0.7995922088843744,16,A,有力
20260502_TOKYO_08,8,2026-05-02,TOKYO,2026-05-02,TOKYO,8,イクリール,穴,0.46487206587347496,0.6574670521963872,0.7902825119849075,10,C,難解
20260502_TOKYO_09,9,2026-05-02,TOKYO,2026-05-02,TOKYO,9,ギュルヴィ,軸,0.2766778468609572,0.588665366000587,0.8023657558967758,16,A,有力
20260502_TOKYO_10,10,2026-05-02,TOKYO,2026-05-02,TOKYO,10,ベルサンローラン,穴,0.242651953954138,0.5572151444199476,0.8007514480486554,11,SS,鉄板
20260502_TOKYO_11,11,2026-05-02,TOKYO,2026-05-02,TOKYO,11,シリウスコルト,穴,0.2766502874789792,0.43120449205114003,0.8022858336890397,18,A,有力
20260502_TOKYO_12,12,2026-05-02,TOKYO,2026-05-02,TOKYO,12,ヘリオトロープ,軸,0.44774907705307043,0.7140584939520581,0.8059483386955268,14,SS,鉄板
20260503_KYOTO_01,1,2026-05-03,KYOTO,2026-05-03,KYOTO,1,サンシャインビーチ,穴,0.39627854714168814,0.7359943948983062,0.7925570942833764,16,SS,鉄板
20260503_KYOTO_02,2,2026-05-03,KYOTO,2026-05-03,KYOTO,2,ケンフィールド,軸,0.3085686648216415,0.9237905789541889,0.8022785285362681,15,S,本命
20260503_KYOTO_03,3,2026-05-03,KYOTO,2026-05-03,KYOTO,3,クーブグラッセ,穴,0.2766881625250663,0.6907285312731117,0.8023956713226923,18,B,混戦
20260503_KYOTO_04,4,2026-05-03,KYOTO,2026-05-03,KYOTO,4,オースミサイファー,穴,0.20566753750614405,0.7851717213969198,0.8021033962739618,18,S,本命
20260503_KYOTO_05,5,2026-05-03,KYOTO,2026-05-03,KYOTO,5,シャイニングスター,穴,0.5414908094100623,1.0,0.8122362141150938,13,S,本命
20260503_KYOTO_06,6,2026-05-03,KYOTO,2026-05-03,KYOTO,6,ラテライト,穴,0.23536618625436878,0.7505804901854541,0.8002450332648539,11,SS,鉄板
20260503_KYOTO_07,7,2026-05-03,KYOTO,2026-05-03,KYOTO,7,トライアンフパス,穴,0.21612572496011498,0.9290577068395873,0.7996651823524257,12,SS,鉄板
20260503_KYOTO_08,8,2026-05-03,KYOTO,2026-05-03,KYOTO,8,ハイクライテリア,穴,0.3830763239295783,1.0,0.8044602802521145,13,SS,鉄板
20260503_KYOTO_09,9,2026-05-03,KYOTO,2026-05-03,KYOTO,9,ララオウ,軸,0.444360435870161,0.7909874863418932,0.7998487845662899,9,B,混戦
20260503_KYOTO_10,10,2026-05-03,KYOTO,2026-05-03,KYOTO,10,メイショウゴールド,軸,0.2746605276049006,0.6245313575073155,0.7965155300542117,12,B,混戦
20260503_KYOTO_11,11,2026-05-03,KYOTO,2026-05-03,KYOTO,11,コロナドブリッジ,穴,0.416875919037865,0.5821390260361069,0.7920642461719437,12,A,有力
20260503_KYOTO_12,12,2026-05-03,KYOTO,2026-05-03,KYOTO,12,ムーンライトラガー,軸,0.3811418812023662,0.854417665357227,0.8003979505249692,10,SS,鉄板
