race_id,race_date,venue,race_no,race_name,horse_id,horse_name,jockey_name,signal,confidence_label,ability_score,win_prob,top2_prob,top3_prob,finish_position,final_odds,win_hit,top3_hit,win_return,place_return
20260405_HANSHIN_01,2026-04-05,阪神,1,未勝利・牝,23100966,マリブサーフ,田山旺佑,軸,S,57.15,0.1287,0.7276,0.7396,3,5.0,0,1,0.0,
20260405_HANSHIN_02,2026-04-05,阪神,2,未勝利,23104674,タイセイサーブル,鮫島克駿,軸,S,72.44,0.1867,0.868,0.8829,1,2.5,1,1,250.0,
20260405_HANSHIN_03,2026-04-05,阪神,3,未勝利,23103810,キャッチアシーフ,岩田望来,軸,S,70.33,0.1688,0.8735,0.8856,4,2.3,0,0,0.0,
20260405_HANSHIN_04,2026-04-05,阪神,4,未勝利,23103481,デルマフジ,ルメール,軸,S,69.72,0.1776,0.8628,0.8741,3,2.5,0,1,0.0,
20260405_HANSHIN_05,2026-04-05,阪神,5,１勝ｸﾗｽ*,23107043,シルバーレシオ,岩田望来,軸,S,70.59,0.178,0.8631,0.8735,1,2.5,1,1,250.0,
20260405_HANSHIN_06,2026-04-05,阪神,6,１勝ｸﾗｽ,21105865,エボルヴィング,ルメール,軸,S,64.48,0.1625,0.8054,0.825,1,3.7,1,1,370.0,
20260405_HANSHIN_07,2026-04-05,阪神,7,２勝ｸﾗｽ,22105021,マテンロウブレイブ,横山典弘,軸,S,59.58,0.1464,0.7926,0.7959,1,3.3,1,1,330.0,
20260405_HANSHIN_08,2026-04-05,阪神,8,２勝ｸﾗｽ,22104715,ジーティーマン,北村友一,軸,S,65.16,0.1836,0.83,0.83,6,2.9,0,0,0.0,
20260405_HANSHIN_09,2026-04-05,阪神,9,バイオレ,23105092,マジッククッキー,川田将雅,軸,S,68.87,0.1534,0.8511,0.8573,3,2.7,0,1,0.0,
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,22101432,スライビングロード,岩田望来,軸,S,62.08,0.1353,0.8062,0.8246,2,3.2,0,1,0.0,
20260405_HANSHIN_11,2026-04-05,阪神,11,大阪杯G1,22105102,クロワデュノール,北村友一,軸,S,67.67,0.191,0.8579,0.8579,1,2.5,1,1,250.0,
20260405_HANSHIN_12,2026-04-05,阪神,12,天満橋Ｓ･3勝,22106920,ニューオーリンズ,和田陽希,軸,S,57.83,0.1332,0.7494,0.7976,2,3.6,0,1,0.0,
20260405_NAKAYAMA_01,2026-04-05,中山,1,未勝利・牝,23103024,ギンケイ,荻野極,軸,S,75.11,0.1846,0.8894,0.8963,2,2.2,0,1,0.0,
20260405_NAKAYAMA_02,2026-04-05,中山,2,未勝利,23101323,ラインジーク,横山和生,軸,S,75.15,0.2074,0.897,0.9092,1,1.9,1,1,190.0,
20260405_NAKAYAMA_03,2026-04-05,中山,3,未勝利,23101813,ミスターキャンベラ,横山武史,軸,S,83.26,0.2683,0.9457,0.9532,1,1.3,1,1,130.0,
20260405_NAKAYAMA_04,2026-04-05,中山,4,障害未勝利,20103193,シャンデルナゴル,中村将之,軸,S,86.2,0.22,0.9551,0.9568,1,1.3,1,1,130.0,
20260405_NAKAYAMA_05,2026-04-05,中山,5,未勝利,23103467,エリュグレイス,横山武史,軸,S,70.9,0.1904,0.8678,0.8845,11,2.2,0,0,0.0,
20260405_NAKAYAMA_06,2026-04-05,中山,6,１勝ｸﾗｽ*,23106175,アレンスター,三浦皇成,軸,S,61.18,0.157,0.8116,0.8116,14,3.1,0,0,0.0,
20260405_NAKAYAMA_07,2026-04-05,中山,7,１勝ｸﾗｽ*,23107231,ニルマーネル,吉田豊,軸,S,57.83,0.1331,0.6474,0.7277,5,4.1,0,0,0.0,
20260405_NAKAYAMA_08,2026-04-05,中山,8,１勝ｸﾗｽ,22103577,リッキースタイル,荻野極,軸,S,57.06,0.1383,0.7456,0.7723,2,5.0,0,1,0.0,
20260405_NAKAYAMA_09,2026-04-05,中山,9,安房特別･2勝,22105456,オストラヴァ,津村明秀,軸,S,76.7,0.1912,0.8989,0.9076,1,2.1,1,1,210.0,
20260405_NAKAYAMA_10,2026-04-05,中山,10,アリエＨ･3勝,22110054,デルアヴァー,荻野極,軸,S,64.97,0.146,0.8152,0.8315,3,3.2,0,1,0.0,
20260405_NAKAYAMA_11,2026-04-05,中山,11,美浦Ｓ･3勝,21106595,ヤマニンアドホック,石川裕紀,軸,S,61.66,0.1329,0.8193,0.8241,3,3.5,0,1,0.0,
20260405_NAKAYAMA_12,2026-04-05,中山,12,２勝ｸﾗｽ,22105501,プリムツァール,横山武史,軸,S,68.34,0.202,0.849,0.8572,2,2.4,0,1,0.0,
