race_id,race_name,horse_no,gate_no,horse_name,jockey_name,rank_in_race,signal,印,mark,recommendation,ability_score,win_prob,top3_prob,win_ev,win_odds
20260425_KYOTO_01,3歳未勝利 【見送りC:大混戦】,6,3,ガイストライヒ,西村淳,1,軸,軸,軸,軸,39.81266018790325,0.09906330093951622,0.5809595178226516,0.1882202717850808,1.9
20260425_KYOTO_01,3歳未勝利 【見送りC:大混戦】,11,6,パケラッタ,鮫島駿,2,対抗,対抗,対抗,対抗,37.385397028765084,0.08692698514382544,0.39330105070565097,0.4780984182910399,5.5
20260425_KYOTO_01,3歳未勝利 【見送りC:大混戦】,9,5,ガトー,岩田望,3,穴,穴,穴,穴,37.38122420423535,0.08690612102117676,0.39593312168951394,0.6865583560672964,7.9
20260425_KYOTO_01,3歳未勝利 【見送りC:大混戦】,13,7,キングオブストーム,角田和,4,連下,連下,連下,連下,37.36762967990213,0.08683814839951065,0.4022647956089932,2.275159488067179,26.2
20260425_KYOTO_01,3歳未勝利 【見送りC:大混戦】,5,3,セスティーナ,△田山,5,連下,連下,連下,連下,37.19003171159358,0.08595015855796792,0.4014919873040344,0.5844610781941818,6.8
20260425_KYOTO_01,3歳未勝利 【見送りC:大混戦】,14,7,ブーケ,松若,6,様子見,様子見,様子見,様子見,37.150038925604505,0.08575019462802252,0.40507625054452134,2.409580469047433,28.1
20260425_KYOTO_01,3歳未勝利 【見送りC:大混戦】,3,2,オオアバレ,団野,7,様子見,様子見,様子見,様子見,37.14909635428906,0.0857454817714453,0.42945572172032953,1.294756774748824,15.1
20260425_KYOTO_01,3歳未勝利 【見送りC:大混戦】,1,1,チュウワヘネシー,加藤,8,様子見,様子見,様子見,様子見,36.786176163790074,0.08393088081895037,0.39590694734423604,5.346397108167139,63.7
20260425_KYOTO_01,3歳未勝利 【見送りC:大混戦】,15,8,ハクサンリング,幸,9,様子見,様子見,様子見,様子見,31.801762562165024,0.05900881281082511,0.20409296685748898,1.8587776035409909,31.5
20260425_KYOTO_01,3歳未勝利 【見送りC:大混戦】,8,4,カフジマリボー,△柴田裕,10,様子見,様子見,様子見,様子見,29.977604850644948,0.04988802425322474,0.22313781222297685,8.485952925473528,170.1
20260425_KYOTO_01,3歳未勝利 【見送りC:大混戦】,12,6,ダイナソーコー,高杉,11,様子見,様子見,様子見,様子見,29.432035476415905,0.047160177382079525,0.18720927003765955,1.58929797777608,33.7
20260425_KYOTO_01,3歳未勝利 【見送りC:大混戦】,16,8,キタノアンドレイ,古川吉,12,様子見,様子見,様子見,様子見,29.20088940551353,0.046004447027567646,0.28249185267532945,2.107003673862598,45.8
20260425_KYOTO_01,3歳未勝利 【見送りC:大混戦】,7,4,サンライズナスカ,藤懸,13,様子見,様子見,様子見,様子見,27.397751909277865,0.03698875954638932,0.12834759132483511,3.5657164202719307,96.4
20260425_KYOTO_01,3歳未勝利 【見送りC:大混戦】,2,1,グランドフィナーレ,菱田,14,様子見,様子見,様子見,様子見,27.090417263822232,0.03545208631911116,0.1524382989050771,1.832872862698047,51.7
20260425_KYOTO_01,3歳未勝利 【見送りC:大混戦】,4,2,スージーハルワ,▲川端,15,様子見,様子見,様子見,様子見,23.643831984506242,0.018219159922531203,0.049313133996652055,9.12051145721912,500.6
20260425_KYOTO_01,3歳未勝利 【見送りC:大混戦】,10,5,リアルフォルツァ,田口,16,様子見,様子見,様子見,様子見,21.233452291571215,0.006167261457856073,0.04636579225691541,0.9836782025280436,159.5
20260425_KYOTO_02,3歳未勝利 【見送りC:大混戦】,15,8,ナムラロダン,西村淳,1,軸,軸,軸,軸,38.806269181312544,0.09403134590656274,0.4989827936509751,0.3573191144449384,3.8
20260425_KYOTO_02,3歳未勝利 【見送りC:大混戦】,8,4,メイショウライガ,松山,2,対抗,対抗,対抗,対抗,37.13439782323951,0.08567198911619756,0.3483592332109029,1.05376546612923,12.3
20260425_KYOTO_02,3歳未勝利 【見送りC:大混戦】,13,7,ドンラブス,吉村,3,穴,穴,穴,穴,36.68217123479434,0.08341085617397168,0.4022647956089932,3.8786048120896828,46.5
20260425_KYOTO_02,3歳未勝利 【見送りC:大混戦】,3,2,ペプチドレオン,岩田望,4,連下,連下,連下,連下,36.652190686146724,0.08326095343073361,0.4090876857080429,0.22480457426298078,2.7
20260425_KYOTO_02,3歳未勝利 【見送りC:大混戦】,4,2,ビーアイジーニー,▲森田,5,連下,連下,連下,連下,36.582996126535534,0.08291498063267769,0.43073012908651936,13.100566939963075,158.0
20260425_KYOTO_02,3歳未勝利 【見送りC:大混戦】,5,3,クリコイーコ,城戸,6,様子見,様子見,様子見,様子見,36.51158262985055,0.08255791314925276,0.4014919873040344,3.2858049433402594,39.8
20260425_KYOTO_02,3歳未勝利 【見送りC:大混戦】,2,1,ビエナブラック,団野,7,様子見,様子見,様子見,様子見,36.487413194079906,0.08243706597039954,0.42874884705810906,2.489599392306066,30.2
20260425_KYOTO_02,3歳未勝利 【見送りC:大混戦】,14,7,チェカ,松若,8,様子見,様子見,様子見,様子見,36.47316826264428,0.08236584131322139,0.40507625054452134,2.6357069220230844,32.0
20260425_KYOTO_02,3歳未勝利 【見送りC:大混戦】,10,5,ライフイズカラフル,鮫島駿,9,様子見,様子見,様子見,様子見,34.475956146270896,0.07237978073135448,0.28241282163826836,0.5211344212657523,7.2
20260425_KYOTO_02,3歳未勝利 【見送りC:大混戦】,12,6,リアライズブライト,浜中,10,様子見,様子見,様子見,様子見,34.20149069931207,0.07100745349656033,0.34084151425901255,0.866290932658036,12.2
20260425_KYOTO_02,3歳未勝利 【見送りC:大混戦】,6,3,シティプロスパー,酒井,11,様子見,様子見,様子見,様子見,30.367313350132996,0.05183656675066497,0.1569141685844941,12.653305943837319,244.1
20260425_KYOTO_02,3歳未勝利 【見送りC:大混戦】,11,6,モズプリフォール,菱田,12,様子見,様子見,様子見,様子見,27.30817108001723,0.03654085540008615,0.1863570042569351,0.2192451324005169,6.0
20260425_KYOTO_02,3歳未勝利 【見送りC:大混戦】,9,5,ヴィシュヴァナート,藤懸,13,様子見,様子見,様子見,様子見,26.90868473752954,0.0345434236876477,0.050323395938691166,2.7082044171115798,78.4
20260425_KYOTO_02,3歳未勝利 【見送りC:大混戦】,7,4,センリョウヤクシャ,幸,14,様子見,様子見,様子見,様子見,26.46556300600445,0.03232781503002226,0.09681350886758629,4.6875331793532276,145.0
20260425_KYOTO_02,3歳未勝利 【見送りC:大混戦】,1,1,スーパーカルメン,田口,15,様子見,様子見,様子見,様子見,22.648247744333844,0.013241238721669229,0.05555265882449196,6.647101838277953,502.0
20260425_KYOTO_02,3歳未勝利 【見送りC:大混戦】,16,8,マルモズイルバア,▲川端,16,様子見,様子見,様子見,様子見,22.29438409779557,0.01147192048897785,0.10305438861905657,4.340974713029218,378.4
20260425_KYOTO_03,3歳未勝利 【見送りC:大混戦】,9,5,サンダーバード,浜中,1,軸,軸,軸,軸,36.8042325080047,0.08402116254002354,0.5224175644734363,1.545989390736433,18.4
20260425_KYOTO_03,3歳未勝利 【見送りC:大混戦】,12,7,ハヤブササキチャン,西村淳,2,対抗,対抗,対抗,対抗,36.08830646659504,0.08044153233297521,0.4877990646484723,0.22523629053233057,2.8
20260425_KYOTO_03,3歳未勝利 【見送りC:大混戦】,8,5,ビロングトゥミー,松山,3,穴,穴,穴,穴,34.98258824346017,0.07491294121730084,0.4429914758765851,0.3071430589909334,4.1
20260425_KYOTO_03,3歳未勝利 【見送りC:大混戦】,6,4,メイショウブレマ,▲森田,4,連下,連下,連下,連下,34.9448020158136,0.07472401007906801,0.4053446031040967,5.230680705534761,70.0
20260425_KYOTO_03,3歳未勝利 【見送りC:大混戦】,7,4,タガノプトゥリ,秋山稔,5,連下,連下,連下,連下,34.9448020158136,0.07472401007906801,0.4041861299690563,23.388615154748287,313.0
20260425_KYOTO_03,3歳未勝利 【見送りC:大混戦】,5,3,エトワールブーケ,岩部,6,様子見,様子見,様子見,様子見,34.9448020158136,0.07472401007906801,0.4014919873040344,1.9054622570162343,25.5
20260425_KYOTO_03,3歳未勝利 【見送りC:大混戦】,2,2,ヴィーラー,菱田,7,様子見,様子見,様子見,様子見,34.92292601273603,0.07461463006368016,0.42874884705810906,1.9623647706747882,26.3
20260425_KYOTO_03,3歳未勝利 【見送りC:大混戦】,11,6,ゲフィオン,吉村,8,様子見,様子見,様子見,様子見,34.37954446442517,0.07189772232212586,0.4619413916769135,0.7621158566145342,10.6
20260425_KYOTO_03,3歳未勝利 【見送りC:大混戦】,13,7,メイショウローゼ,藤懸,9,様子見,様子見,様子見,様子見,34.20866933304994,0.07104334666524971,0.3039117824277659,0.8098941519838467,11.4
20260425_KYOTO_03,3歳未勝利 【見送りC:大混戦】,4,3,ロッサコメータ,高杉,10,様子見,様子見,様子見,様子見,33.74283628567093,0.06871418142835466,0.3855015007195284,1.8277972259942339,26.6
20260425_KYOTO_03,3歳未勝利 【見送りC:大混戦】,1,1,コールラヴ,岩田望,11,様子見,様子見,様子見,様子見,33.462897259971555,0.06731448629985777,0.27299995219661444,0.8616254246381795,12.8
