race_id,race_date,venue,race_no,race_name,chaos_score,chaos_band,axis_horse,caution_horse,partner_candidates,ana_candidates,recommended_ticket_type,strategy_comment
20260405_NAKAYAMA_01,2026-04-05,中山,1,未勝利・牝,57.53,やや荒れ,ギンケイ,,キタノエピックアン / タイセイルビー,タイセイルビー,ワイド / 三連複,能力注を絡めて広め
20260405_NAKAYAMA_02,2026-04-05,中山,2,未勝利,55.49,やや荒れ,ラインジーク,,ミスタートントン / ヘイスティハート,ヘイスティハート,ワイド / 三連複,能力注を絡めて広め
20260405_NAKAYAMA_03,2026-04-05,中山,3,未勝利,50.98,中間,ミスターキャンベラ,,モロノカガヤキ / コスモラムバック,コスモラムバック,ワイド / 馬連 / 三連複,能力注を相手に入れる
20260405_NAKAYAMA_04,2026-04-05,中山,4,障害未勝利,52.76,中間,シャンデルナゴル,,オンクラウドナイン / エクロジャイト,エクロジャイト,ワイド / 馬連 / 三連複,能力注を相手に入れる
20260405_NAKAYAMA_05,2026-04-05,中山,5,未勝利,58.54,やや荒れ,エリュグレイス,,ショウナンサイオウ / ファーザーアウェイ,ファーザーアウェイ,ワイド / 三連複,能力注を絡めて広め
20260405_NAKAYAMA_06,2026-04-05,中山,6,１勝ｸﾗｽ*,60.41,やや荒れ,アレンスター,,テンカムテキ,テンカムテキ,ワイド / 三連複,能力注を絡めて広め
20260405_NAKAYAMA_07,2026-04-05,中山,7,１勝ｸﾗｽ*,57.76,やや荒れ,ニルマーネル,,ファインサマーデイ / ベレーバスク,ベレーバスク,ワイド / 三連複,能力注を絡めて広め
20260405_NAKAYAMA_08,2026-04-05,中山,8,１勝ｸﾗｽ,62.42,やや荒れ,リッキースタイル,,エコロカディス,エコロカディス,ワイド / 三連複,能力注を絡めて広め
20260405_NAKAYAMA_09,2026-04-05,中山,9,安房特別･2勝,53.69,中間,オストラヴァ,,イクリール / カーミングライツ,カーミングライツ,ワイド / 馬連 / 三連複,能力注を相手に入れる
20260405_NAKAYAMA_10,2026-04-05,中山,10,アリエＨ･3勝,61.3,やや荒れ,デルアヴァー,,メリークリスマス / ウィンドフォール,ウィンドフォール,ワイド / 三連複,能力注を絡めて広め
20260405_NAKAYAMA_11,2026-04-05,中山,11,美浦Ｓ･3勝,62.83,やや荒れ,ヤマニンアドホック,,ジュタ / クルミナーレ,クルミナーレ,ワイド / 三連複,能力注を絡めて広め
20260405_NAKAYAMA_12,2026-04-05,中山,12,２勝ｸﾗｽ,55.21,やや荒れ,プリムツァール,,リバーバレイト / パワースナッチ,パワースナッチ,ワイド / 三連複,能力注を絡めて広め
20260405_HANSHIN_01,2026-04-05,阪神,1,未勝利・牝,62.53,やや荒れ,マリブサーフ,,エバイダンス / タガノプディング,タガノプディング,ワイド / 三連複,能力注を絡めて広め
20260405_HANSHIN_02,2026-04-05,阪神,2,未勝利,58.45,やや荒れ,タイセイサーブル,,マイカラー / アウトリュコス,マイカラー,ワイド / 三連複,能力注を絡めて広め
20260405_HANSHIN_03,2026-04-05,阪神,3,未勝利,60.41,やや荒れ,キャッチアシーフ,,アクアマイスター / アルムアポジェ,アルムアポジェ,ワイド / 三連複,能力注を絡めて広め
20260405_HANSHIN_04,2026-04-05,阪神,4,未勝利,60.25,やや荒れ,デルマフジ,,カモンメーン / パーヴォ,パーヴォ,ワイド / 三連複,能力注を絡めて広め
20260405_HANSHIN_05,2026-04-05,阪神,5,１勝ｸﾗｽ*,57.64,やや荒れ,シルバーレシオ,,スカイストライプス / ヴォーカライズ,ヴォーカライズ,ワイド / 三連複,能力注を絡めて広め
20260405_HANSHIN_06,2026-04-05,阪神,6,１勝ｸﾗｽ,54.02,中間,エボルヴィング,,ドルチェリターン / ドウアドバンテージ,ドウアドバンテージ,ワイド / 馬連 / 三連複,能力注を相手に入れる
20260405_HANSHIN_07,2026-04-05,阪神,7,２勝ｸﾗｽ,62.91,やや荒れ,マテンロウブレイブ,,アラナコア / ライノ,ライノ,ワイド / 三連複,能力注を絡めて広め
20260405_HANSHIN_08,2026-04-05,阪神,8,２勝ｸﾗｽ,57.53,やや荒れ,ジーティーマン,,ホウオウトランプ / フェアリーライク,フェアリーライク,ワイド / 三連複,能力注を絡めて広め
20260405_HANSHIN_09,2026-04-05,阪神,9,バイオレ,58.1,やや荒れ,マジッククッキー,,メイショウカクウチ / エコロレーヴ,エコロレーヴ,ワイド / 三連複,能力注を絡めて広め
20260405_HANSHIN_10,2026-04-05,阪神,10,心斎橋Ｈ･3勝,68.9,やや荒れ,スライビングロード,,ミトノオルフェ / スカイハイ,スカイハイ,ワイド / 三連複,能力注を絡めて広め
20260405_HANSHIN_11,2026-04-05,阪神,11,大阪杯G1,56.6,やや荒れ,クロワデュノール,,ダノンデサイル / メイショウタバル,メイショウタバル,ワイド / 三連複,能力注を絡めて広め
20260405_HANSHIN_12,2026-04-05,阪神,12,天満橋Ｓ･3勝,62.15,やや荒れ,ニューオーリンズ,,ゲイルライダー / タマモティーカップ,タマモティーカップ,ワイド / 三連複,能力注を絡めて広め
